Date,Murder,Murder_in_form_of_Targetted_Killing,Murder_during_Dacoity,Suicide_Bombing,Highway_Dacoity,Bank_Dacoity,Car_Snatching,Gang_Rape,Covid_cases
1/4/2020,106,0,6,0,0,0,3,3,1190
1/5/2020,100,0,3,0,0,1,7,1,22192
1/6/2020,174,0,7,0,1,0,8,4,56395
1/7/2020,145,0,2,0,5,0,15,5,36399
1/8/2020,141,0,5,0,1,0,10,4,8430
1/9/2020,121,0,7,0,0,0,19,17,7637
1/10/2020,134,0,6,0,3,0,13,9,8745
1/11/2020,108,0,1,0,2,0,13,3,28499
1/12/2020,101,0,5,0,8,0,12,2,41329
1/1/2021,129,0,7,0,2,0,12,4,31570
1/2/2021,99,0,5,0,6,0,12,6,11017
1/3/2021,121,0,6,0,1,1,12,7,7414
1/4/2021,134,0,6,0,1,1,17,11,17880
1/5/2021,155,0,4,0,1,0,11,10,35019
1/6/2021,162,0,6,0,2,3,24,8,19095
1/7/2021,157,0,6,0,2,0,22,6,45191
1/8/2021,130,2,3,0,2,0,11,5,49772
